scenario,adoption_rate,efficiency_a,average_speed,total_travel_time,total_energy_electric_mean,total_carbon_electric_mean,total_energy_gasoline_mean,total_carbon_gasoline_mean,E_electric_mean,E_drive_av_mean,E_compute_mean,E_v2x_mean,E_data_center_mean,E_RSU_mean,total_energy_electric_ci_lower,total_energy_electric_ci_upper,total_carbon_electric_ci_lower,total_carbon_electric_ci_upper,total_energy_gasoline_ci_lower,total_energy_gasoline_ci_upper,total_carbon_gasoline_ci_lower,total_carbon_gasoline_ci_upper,E_electric_ci_lower,E_electric_ci_upper,E_drive_av_ci_lower,E_drive_av_ci_upper,E_compute_ci_lower,E_compute_ci_upper,E_v2x_ci_lower,E_v2x_ci_upper,E_data_center_ci_lower,E_data_center_ci_upper,gasoline,electric,autonomous
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389406403.9947313,194837061.08029678,3669136581.554532,8512396869.206513,386467621.0592882,3878.5077215360566,0.0,0.0,0.0,2931025.92,377178867.1044264,401516958.40885943,187175417.89687276,203667872.88402286,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374222403.7767257,398571500.36814034,0.0,16055.919520307,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389441352.29232764,195020199.19042456,3669136581.554532,8512396869.206513,386502244.54084843,4040.9157395828506,0.0,0.0,0.0,2931025.92,377035264.5949218,402960691.5488323,187048979.61587545,203778254.92882758,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374087021.64501727,400017008.55825394,0.0,17197.20981698201,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389623133.4738991,195057360.6012993,3669136581.554532,8512396869.206513,386684752.22050977,3677.666694662529,0.0,0.0,0.0,2931025.92,377919680.39692986,402275871.29826033,187304891.87135953,203245703.07383886,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374981714.9599538,399330242.98302144,0.0,15554.394453013636,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389228182.4257788,194849760.91676226,3669136581.554532,8512396869.206513,386288670.1677781,4243.169000335898,0.0,0.0,0.0,2931025.92,376750757.8133158,401759195.42916363,186843123.9601522,203483644.05080384,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373818862.0793947,398826661.0849198,0.0,17068.72678744911,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389305047.78330684,195097342.93622234,3669136581.554532,8512396869.206513,386366386.7807787,3817.541264044593,0.0,0.0,0.0,2931025.92,377296064.2695097,402892238.3915428,187062312.20520014,204062296.20560965,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374353655.37470657,399952759.7439014,0.0,15491.224173346625,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389613263.4153184,195111838.87609902,3669136581.554532,8512396869.206513,386674251.82198095,3992.836668706617,0.0,0.0,0.0,2931025.92,376328025.61969626,402472657.5629917,186489106.05441406,203809421.39025417,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373396999.69969624,399508911.9389679,0.0,17015.38902957489,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,388711113.1819763,194846075.94760734,3669136581.554532,8512396869.206513,385772387.84284043,3849.709567895818,0.0,0.0,0.0,2931025.92,376877558.3249141,401686438.99368155,186516108.351489,203968812.67896327,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373938960.94815326,398755413.07368153,0.0,15845.37812384902,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389220786.08115834,195094310.68577206,3669136581.554532,8512396869.206513,386282122.335557,3818.91280067551,0.0,0.0,0.0,2931025.92,375894892.30469954,402034520.41220737,187350721.48994115,202971729.32904026,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,372954170.3333354,399088238.7773014,0.0,16518.67668017391,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389138731.01218224,194831745.48190388,3669136581.554532,8512396869.206513,386199381.7116533,4161.690264481825,0.0,0.0,0.0,2931025.92,376680840.2767627,403125875.2367684,186863012.58923265,203756215.64127,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373749004.9399713,400172236.3531803,0.0,17380.295320916168,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389601899.3026933,195307525.59621665,3669136581.554532,8512396869.206513,386662345.39651644,4263.993088444152,0.0,0.0,0.0,2931025.92,376873678.318472,402391126.8776177,186685574.331461,204167866.1345273,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373938032.14755464,399459576.7063567,0.0,17393.887360032586,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
